node:Y:own:rel_shallow=det, P counts: 11146, Prec%: 100.0%, Cov%: 54.2%,  Order: left
    node:X:parent:position=before, P counts: 71, Prec%: 97.2%, Cov%: 31.5%,  Order: left
  node:X:own:rel_deep=relcl, P counts: 517, Prec%: 5.4%, Cov%: 19.0%,  Order: right
    node:Y:own:upos=PRON, P counts: 425, Prec%: 100.0%, Cov%: 86.9%,  Order: left
    node:Y:child:upos=PRON, P counts: 16, Prec%: 100.0%, Cov%: 3.3%,  Order: left
    node:X:child:upos=AUX, P counts: 51, Prec%: 100.0%, Cov%: 10.4%,  Order: left
    node:X:child:Polarity=Neg, P counts: 24, Prec%: 100.0%, Cov%: 4.9%,  Order: left
    node:X:child:Number=Sing, P counts: 202, Prec%: 96.5%, Cov%: 39.9%,  Order: left
    node:X:child:rel_shallow=comp:obj, P counts: 207, Prec%: 95.2%, Cov%: 40.3%,  Order: left
    node:X:child:rel_shallow=comp:pred, P counts: 61, Prec%: 95.1%, Cov%: 11.9%,  Order: left
    node:X:child:rel_shallow=mod, P counts: 237, Prec%: 94.9%, Cov%: 46.0%,  Order: left
    node:Y:child:rel_shallow=mod, P counts: 28, Prec%: 50.0%, Cov%: 50.0%,  Order: right
    node:Y:own:Gender=Masc, P counts: 98, Prec%: 12.2%, Cov%: 42.9%,  Order: right
node:Y:own:upos=PRON, P counts: 2803, Prec%: 86.9%, Cov%: 11.9%,  Order: left
  node:X:own:Mood=Imp, P counts: 8, Prec%: 100.0%, Cov%: 2.2%,  Order: right
  node:X:own:upos=ADP, P counts: 181, Prec%: 98.9%, Cov%: 48.6%,  Order: right
    node:Y:own:rel_shallow=comp:obj, P counts: 156, Prec%: 100.0%, Cov%: 87.2%,  Order: right
    node:Y:own:Gender=Masc, P counts: 105, Prec%: 100.0%, Cov%: 58.7%,  Order: right
    node:X:parent:VerbForm=Fin, P counts: 81, Prec%: 100.0%, Cov%: 45.3%,  Order: right
    node:Y:own:Number=Sing, P counts: 122, Prec%: 100.0%, Cov%: 68.2%,  Order: right
  node:Y:own:rel_shallow=subj, P counts: 1615, Prec%: 97.0%, Cov%: 64.3%,  Order: left
    node:X:own:rel_shallow=mod, P counts: 436, Prec%: 100.0%, Cov%: 27.8%,  Order: left
    node:X:own:rel_shallow=comp:obj, P counts: 302, Prec%: 99.7%, Cov%: 19.2%,  Order: left
    node:X:parent:position=before, P counts: 903, Prec%: 98.8%, Cov%: 57.0%,  Order: left
    node:X:own:rel_shallow=parataxis:insert, P counts: 21, Prec%: 38.1%, Cov%: 16.3%,  Order: right
    node:X:child:Voice=Pass, P counts: 83, Prec%: 9.6%, Cov%: 16.3%,  Order: right
    node:X:parent:upos=AUX, P counts: 57, Prec%: 8.8%, Cov%: 10.2%,  Order: right
    node:X:own:Tense=Pres, P counts: 1319, Prec%: 3.5%, Cov%: 93.9%,  Order: right
  node:X:own:upos=VERB, P counts: 1861, Prec%: 95.0%, Cov%: 72.6%,  Order: left
    node:Y:own:PronType=Rel, P counts: 358, Prec%: 99.7%, Cov%: 20.2%,  Order: left
    node:Y:own:has_child=No, P counts: 1787, Prec%: 97.4%, Cov%: 98.5%,  Order: left
    node:Y:own:rel_shallow=subj, P counts: 1028, Prec%: 97.4%, Cov%: 56.6%,  Order: left
    node:Y:own:PronType=Prs, P counts: 1315, Prec%: 97.2%, Cov%: 72.3%,  Order: left
    node:Y:child:rel_shallow=mod, P counts: 32, Prec%: 90.6%, Cov%: 31.2%,  Order: right
    node:X:child:PronType=Int, P counts: 16, Prec%: 62.5%, Cov%: 10.8%,  Order: right
    node:X:own:Person=2, P counts: 85, Prec%: 15.3%, Cov%: 14.0%,  Order: right
  node:Y:own:has_child=No, P counts: 2571, Prec%: 93.0%, Cov%: 98.2%,  Order: left
    node:X:own:upos=ADP, P counts: 103, Prec%: 100.0%, Cov%: 56.9%,  Order: right
    node:X:own:Mood=Imp, P counts: 7, Prec%: 100.0%, Cov%: 3.9%,  Order: right
    node:X:own:rel_deep=relcl, P counts: 601, Prec%: 99.7%, Cov%: 25.1%,  Order: left
    node:X:own:rel_shallow=comp:obj, P counts: 539, Prec%: 98.7%, Cov%: 22.3%,  Order: left
    node:X:child:PronType=Int, P counts: 28, Prec%: 71.4%, Cov%: 11.0%,  Order: right
    node:Y:own:rel_shallow=comp:obj, P counts: 356, Prec%: 31.5%, Cov%: 61.9%,  Order: right
    node:Y:own:rel_shallow=mod, P counts: 66, Prec%: 16.7%, Cov%: 6.1%,  Order: right
    node:Y:own:Number=Sing, P counts: 1120, Prec%: 10.6%, Cov%: 65.7%,  Order: right
    node:X:own:Person=2, P counts: 107, Prec%: 7.5%, Cov%: 4.4%,  Order: right
  node:Y:own:ExtPos=ADV, P counts: 14, Prec%: 92.9%, Cov%: 0.5%,  Order: left
    node:Y:own:PronType=Dem, P counts: 11, Prec%: 100.0%, Cov%: 84.6%,  Order: left
    node:X:own:rel_shallow=root, P counts: 10, Prec%: 100.0%, Cov%: 76.9%,  Order: left
  node:X:own:Person=2, P counts: 112, Prec%: 88.4%, Cov%: 4.1%,  Order: left
    node:X:own:Mood=Imp, P counts: 6, Prec%: 100.0%, Cov%: 46.2%,  Order: right
    node:Y:own:Person=3, P counts: 6, Prec%: 100.0%, Cov%: 46.2%,  Order: right
    node:X:child:Number=Sing, P counts: 44, Prec%: 97.7%, Cov%: 43.4%,  Order: left
    node:X:parent:position=before, P counts: 89, Prec%: 94.4%, Cov%: 84.8%,  Order: left
    node:Y:own:Number=Sing, P counts: 8, Prec%: 87.5%, Cov%: 53.8%,  Order: right
    node:X:child:upos=PUNCT, P counts: 23, Prec%: 34.8%, Cov%: 61.5%,  Order: right
    node:X:child:rel_shallow=mod, P counts: 37, Prec%: 16.2%, Cov%: 46.2%,  Order: right
  node:X:child:PronType=Int, P counts: 29, Prec%: 72.4%, Cov%: 5.7%,  Order: right
    node:Y:own:rel_shallow=comp, P counts: 5, Prec%: 100.0%, Cov%: 62.5%,  Order: left
    node:X:child:upos=SCONJ, P counts: 6, Prec%: 100.0%, Cov%: 28.6%,  Order: right
    node:Y:own:PronType=Dem, P counts: 7, Prec%: 100.0%, Cov%: 33.3%,  Order: right
    node:Y:own:Number=Sing, P counts: 16, Prec%: 93.8%, Cov%: 71.4%,  Order: right
    node:X:own:rel_shallow=root, P counts: 23, Prec%: 87.0%, Cov%: 95.2%,  Order: right
    node:X:child:upos=PUNCT, P counts: 21, Prec%: 81.0%, Cov%: 81.0%,  Order: right
  node:X:own:rel_shallow=parataxis:insert, P counts: 23, Prec%: 39.1%, Cov%: 2.4%,  Order: right
    node:X:parent:upos=NOUN, P counts: 9, Prec%: 100.0%, Cov%: 64.3%,  Order: left
    node:X:own:Person=1, P counts: 7, Prec%: 85.7%, Cov%: 42.9%,  Order: left
    node:X:child:upos=PUNCT, P counts: 16, Prec%: 75.0%, Cov%: 85.7%,  Order: left
    node:Y:own:Gender=Masc, P counts: 10, Prec%: 60.0%, Cov%: 66.7%,  Order: right
    node:X:own:upos=VERB, P counts: 20, Prec%: 45.0%, Cov%: 100.0%,  Order: right
    node:Y:own:Number=Sing, P counts: 21, Prec%: 42.9%, Cov%: 100.0%,  Order: right
  node:Y:own:Number=Sing, P counts: 1286, Prec%: 19.7%, Cov%: 68.8%,  Order: right
    node:Y:own:rel_shallow=subj, P counts: 919, Prec%: 95.9%, Cov%: 85.3%,  Order: left
    node:Y:child:rel_shallow=mod, P counts: 61, Prec%: 95.1%, Cov%: 22.9%,  Order: right
    node:Y:own:PronType=Prs, P counts: 886, Prec%: 92.6%, Cov%: 79.4%,  Order: left
    node:Y:own:Idiom=Yes, P counts: 13, Prec%: 92.3%, Cov%: 1.2%,  Order: left
    node:X:own:upos=VERB, P counts: 761, Prec%: 90.5%, Cov%: 66.7%,  Order: left
    node:Y:child:upos=ADP, P counts: 53, Prec%: 88.7%, Cov%: 18.6%,  Order: right
    node:Y:own:rel_shallow=mod, P counts: 30, Prec%: 56.7%, Cov%: 6.7%,  Order: right
node:Y:own:NumType=Ord, P counts: 212, Prec%: 85.4%, Cov%: 0.9%,  Order: left
  node:Y:own:rel_shallow=subj, P counts: 10, Prec%: 100.0%, Cov%: 5.5%,  Order: left
  node:X:child:rel_shallow=udep, P counts: 57, Prec%: 100.0%, Cov%: 31.5%,  Order: left
  node:Y:own:rel_shallow=conj:coord, P counts: 5, Prec%: 100.0%, Cov%: 16.1%,  Order: right
  node:X:parent:Tense=Imp, P counts: 8, Prec%: 100.0%, Cov%: 4.4%,  Order: left
  node:X:child:Gender=Masc, P counts: 79, Prec%: 98.7%, Cov%: 43.1%,  Order: left
    node:Y:own:Gender=Masc, P counts: 42, Prec%: 100.0%, Cov%: 53.8%,  Order: left
  node:X:own:Gender=Fem, P counts: 76, Prec%: 92.1%, Cov%: 38.7%,  Order: left
    node:X:child:rel_shallow=udep, P counts: 25, Prec%: 100.0%, Cov%: 35.7%,  Order: left
    node:X:child:Poss=Yes, P counts: 5, Prec%: 100.0%, Cov%: 7.1%,  Order: left
    node:X:child:Definite=Ind, P counts: 7, Prec%: 100.0%, Cov%: 10.0%,  Order: left
    node:X:parent:upos=AUX, P counts: 6, Prec%: 100.0%, Cov%: 8.6%,  Order: left
    node:X:parent:upos=ADP, P counts: 49, Prec%: 98.0%, Cov%: 68.6%,  Order: left
    node:X:own:upos=NOUN, P counts: 74, Prec%: 94.6%, Cov%: 100.0%,  Order: left
    node:X:own:rel_shallow=comp:obj, P counts: 57, Prec%: 93.0%, Cov%: 75.7%,  Order: left
  node:X:own:upos=NOUN, P counts: 185, Prec%: 91.9%, Cov%: 93.9%,  Order: left
    node:X:child:upos=ADP, P counts: 57, Prec%: 100.0%, Cov%: 33.5%,  Order: left
    node:X:child:Gender=Masc, P counts: 70, Prec%: 100.0%, Cov%: 41.2%,  Order: left
    node:X:child:upos=PUNCT, P counts: 25, Prec%: 100.0%, Cov%: 14.7%,  Order: left
    node:X:parent:upos=ADP, P counts: 107, Prec%: 92.5%, Cov%: 58.2%,  Order: left
    node:Y:own:Gender=Masc, P counts: 72, Prec%: 13.9%, Cov%: 66.7%,  Order: right
    node:X:own:Gender=Masc, P counts: 107, Prec%: 10.3%, Cov%: 73.3%,  Order: right
    node:X:own:Number=Sing, P counts: 165, Prec%: 8.5%, Cov%: 93.3%,  Order: right
  node:X:parent:upos=ADP, P counts: 110, Prec%: 90.9%, Cov%: 55.2%,  Order: left
    node:X:child:Gender=Masc, P counts: 38, Prec%: 100.0%, Cov%: 38.0%,  Order: left
    node:X:child:rel_shallow=mod, P counts: 23, Prec%: 100.0%, Cov%: 23.0%,  Order: left
    node:X:child:upos=ADP, P counts: 28, Prec%: 100.0%, Cov%: 28.0%,  Order: left
    node:X:child:upos=DET, P counts: 89, Prec%: 98.9%, Cov%: 88.0%,  Order: left
    node:X:child:Gender=Fem, P counts: 39, Prec%: 97.4%, Cov%: 38.0%,  Order: left
    node:Y:own:Gender=Fem, P counts: 32, Prec%: 96.9%, Cov%: 31.0%,  Order: left
    node:Y:own:Gender=Masc, P counts: 38, Prec%: 21.1%, Cov%: 80.0%,  Order: right
    node:X:own:Gender=Masc, P counts: 57, Prec%: 14.0%, Cov%: 80.0%,  Order: right
    node:X:own:Number=Sing, P counts: 93, Prec%: 9.7%, Cov%: 90.0%,  Order: right
  node:X:child:rel_shallow=punct, P counts: 36, Prec%: 88.9%, Cov%: 17.7%,  Order: left
    node:Y:own:rel_shallow=subj, P counts: 7, Prec%: 100.0%, Cov%: 21.9%,  Order: left
    node:X:own:rel_shallow=root, P counts: 20, Prec%: 100.0%, Cov%: 62.5%,  Order: left
    node:Y:own:Gender=Masc, P counts: 20, Prec%: 100.0%, Cov%: 62.5%,  Order: left
  node:X:parent:upos=VERB, P counts: 35, Prec%: 17.1%, Cov%: 19.4%,  Order: right
    node:X:child:rel_shallow=udep, P counts: 14, Prec%: 100.0%, Cov%: 48.3%,  Order: left
    node:X:child:Gender=Masc, P counts: 19, Prec%: 100.0%, Cov%: 65.5%,  Order: left
    node:X:parent:Tense=Imp, P counts: 7, Prec%: 100.0%, Cov%: 24.1%,  Order: left
    node:X:child:Definite=Ind, P counts: 6, Prec%: 100.0%, Cov%: 20.7%,  Order: left
    node:X:parent:position=after, P counts: 18, Prec%: 94.4%, Cov%: 58.6%,  Order: left
    node:X:child:PronType=Art, P counts: 26, Prec%: 92.3%, Cov%: 82.8%,  Order: left
    node:X:own:Number=Sing, P counts: 30, Prec%: 90.0%, Cov%: 93.1%,  Order: left
    node:X:parent:Number=Sing, P counts: 30, Prec%: 86.7%, Cov%: 89.7%,  Order: left
node:Y:child:upos=PUNCT, P counts: 3883, Prec%: 79.1%, Cov%: 7.9%,  Order: right
  node:Y:own:rel_shallow=cc, P counts: 17, Prec%: 100.0%, Cov%: 2.1%,  Order: left
  node:Y:own:rel_shallow=conj:coord, P counts: 875, Prec%: 100.0%, Cov%: 28.5%,  Order: right
  node:Y:child:Shared=Yes, P counts: 361, Prec%: 100.0%, Cov%: 11.8%,  Order: right
  node:Y:own:Number=Plur, P counts: 485, Prec%: 96.7%, Cov%: 15.3%,  Order: right
    node:X:parent:upos=NOUN, P counts: 98, Prec%: 100.0%, Cov%: 20.9%,  Order: right
    node:Y:own:rel_shallow=conj:coord, P counts: 199, Prec%: 100.0%, Cov%: 42.4%,  Order: right
    node:Y:own:Person=3, P counts: 113, Prec%: 99.1%, Cov%: 23.9%,  Order: right
    node:Y:child:upos=ADP, P counts: 181, Prec%: 98.9%, Cov%: 38.2%,  Order: right
    node:Y:own:rel_shallow=subj, P counts: 11, Prec%: 81.8%, Cov%: 56.2%,  Order: left
    node:X:child:Tense=Past, P counts: 40, Prec%: 27.5%, Cov%: 68.8%,  Order: left
    node:X:own:VerbForm=Fin, P counts: 105, Prec%: 14.3%, Cov%: 93.8%,  Order: left
  node:Y:own:rel_shallow=subj, P counts: 40, Prec%: 92.5%, Cov%: 4.6%,  Order: left
    node:X:child:upos=NOUN, P counts: 8, Prec%: 100.0%, Cov%: 21.6%,  Order: left
    node:X:child:upos=PUNCT, P counts: 11, Prec%: 100.0%, Cov%: 29.7%,  Order: left
    node:X:child:upos=AUX, P counts: 6, Prec%: 100.0%, Cov%: 16.2%,  Order: left
    node:X:own:rel_shallow=root, P counts: 32, Prec%: 96.9%, Cov%: 83.8%,  Order: left
    node:X:child:rel_shallow=mod, P counts: 25, Prec%: 96.0%, Cov%: 64.9%,  Order: left
    node:X:child:Gender=Masc, P counts: 21, Prec%: 95.2%, Cov%: 54.1%,  Order: left
  node:Y:child:upos=SCONJ, P counts: 123, Prec%: 87.0%, Cov%: 3.5%,  Order: right
    node:X:child:Idiom=Yes, P counts: 13, Prec%: 100.0%, Cov%: 12.1%,  Order: right
    node:Y:own:Gender=Fem, P counts: 8, Prec%: 87.5%, Cov%: 6.5%,  Order: right
    node:Y:child:Mood=Sub, P counts: 8, Prec%: 62.5%, Cov%: 31.2%,  Order: left
    node:Y:child:rel_shallow=conj:coord, P counts: 9, Prec%: 55.6%, Cov%: 31.2%,  Order: left
    node:X:own:VerbForm=Fin, P counts: 91, Prec%: 17.6%, Cov%: 100.0%,  Order: left
  node:X:own:VerbForm=Fin, P counts: 1496, Prec%: 49.4%, Cov%: 90.9%,  Order: left
    node:Y:own:rel_shallow=dislocated, P counts: 8, Prec%: 100.0%, Cov%: 1.1%,  Order: left
    node:Y:child:Shared=Yes, P counts: 227, Prec%: 100.0%, Cov%: 30.0%,  Order: right
    node:X:parent:upos=NOUN, P counts: 53, Prec%: 84.9%, Cov%: 5.9%,  Order: right
    node:Y:own:upos=SCONJ, P counts: 95, Prec%: 75.8%, Cov%: 9.7%,  Order: left
    node:Y:own:upos=ADP, P counts: 618, Prec%: 69.7%, Cov%: 58.3%,  Order: left
    node:Y:own:rel_shallow=mod, P counts: 1042, Prec%: 65.8%, Cov%: 92.8%,  Order: left
    node:X:child:rel_shallow=punct, P counts: 985, Prec%: 60.6%, Cov%: 80.8%,  Order: left
    node:Y:own:NumType=Card, P counts: 46, Prec%: 54.3%, Cov%: 3.3%,  Order: right
  node:X:child:rel_shallow=conj:coord, P counts: 219, Prec%: 37.4%, Cov%: 10.1%,  Order: left
    node:Y:own:NumType=Card, P counts: 12, Prec%: 100.0%, Cov%: 8.8%,  Order: right
    node:X:own:rel_shallow=mod, P counts: 14, Prec%: 100.0%, Cov%: 10.2%,  Order: right
    node:Y:own:rel_shallow=conj:coord, P counts: 31, Prec%: 100.0%, Cov%: 22.6%,  Order: right
    node:X:child:Tense=Past, P counts: 39, Prec%: 79.5%, Cov%: 37.8%,  Order: left
    node:X:child:rel_shallow=comp:obj, P counts: 45, Prec%: 62.2%, Cov%: 34.1%,  Order: left
    node:Y:child:Number=Plur, P counts: 32, Prec%: 50.0%, Cov%: 19.5%,  Order: left
    node:X:child:upos=ADV, P counts: 25, Prec%: 48.0%, Cov%: 14.6%,  Order: left
